Index,Dataset,Distance Metric,True Changes,Predicted Changes,Run Time,Covering,F1,Accuracy,Batch Size,Threshold,Max_dist_size,new_dist_buffer_size,score_margin
0,energy-anomaly,Acc (average of Manhattan and Chebyshev),"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",16.07618022,0.988370002,1,-19.55555556,136,1.140613908,0,408,136
1,energy-anomaly,Additive Symmetric Chi-square Distance,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 31552, 36040, 41888, 49096, 49776, 53992]",16.12630773,0.91827997,0.818181818,385.4545455,136,1.185144847,0,408,136
2,energy-anomaly,Bhattacharyya,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]",[],1529.018894,0.1,0.181818182,NA,136,0.716958476,0,408,136
3,energy-anomaly,Bray-Curtis,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",16.43106198,0.988370002,1,-19.55555556,136,1.081145463,0,408,136
4,energy-anomaly,Canberra,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 47872, 53992]",19.12905669,0.984416637,1,-34.66666667,136,1.023515086,0,408,136
5,energy-anomaly,Chebyshev (Maximum distance),"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[408, 816, 1224, 1632, 3944, 5984, 17952, 23936, 29920, 30328, 30736, 31144, 31552, 31960, 32368, 32776, 33184, 33592, 34000, 34408, 34816, 35224, 35632, 36040, 36448, 36992, 37672, 38080, 38488, 38896, 39304, 39712, 40800, 41888, 53992]",35.60360909,0.557816622,0.347826087,-518.6285714,136,0.973386719,0,408,136
6,energy-anomaly,Chebyshev (Minimum distance),"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[8840, 9520, 10336, 10744, 11424, 18088, 39576, 40528]",146.3728671,0.373129017,0.210526316,-868,136,1.010689138,0,408,136
7,energy-anomaly,Clark,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[544, 5984, 11968, 17952, 18360, 19040, 23936, 30056, 31824, 35904, 42024, 42840, 45152, 47872, 48416, 51816, 53992]",13.23421049,0.83608781,0.714285714,-371.7647059,136,1.003674836,0,408,136
8,energy-anomaly,Pearson Correlation,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[408, 1088, 1496, 1904, 2584, 3264, 3672, 4216, 4624, 5168, 5576, 18088, 18496, 19176, 20400, 20808, 21216, 21760, 22440, 22848, 23256, 23664, 24208, 26248, 26928, 27336, 27744, 28288, 28832, 29240, 29648, 32368, 32776, 33184, 33592, 34000, 34544, 34952, 35360, 35768, 36448, 36856, 39440, 39848, 40800, 41208, 41616, 42024, 43520, 44064, 44472, 44880, 45288, 45696, 46240, 46920, 47328, 47736, 51952, 52360, 53720, 54128, 54536, 55488, 56032, 56576, 57120, 57528, 58208, 58616, 59160, 59568]",62.70820689,0.345878202,0.096385542,-270.2222222,136,0.555858294,0,408,136
9,energy-anomaly,Czekanowski,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",17.11516428,0.988370002,1,-19.55555556,136,1.091784811,0,408,136
10,energy-anomaly,Divergence,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[544, 5984, 11968, 17952, 18360, 23936, 30056, 35904, 42024, 45152, 47872, 49504, 53992]",15.21505642,0.901821143,0.833333333,-519.3846154,136,1.017936043,0,408,136
11,energy-anomaly,Euclidean,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 47872, 53992]",16.29520726,0.984416637,1,-34.66666667,136,1.020145904,0,408,136
12,energy-anomaly,Google,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936]",379.91031,0.495579887,0.666666667,-40,136,1.05371759,0,408,136
13,energy-anomaly,Gower,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",17.28541136,0.988370002,1,-19.55555556,136,1.174495653,0,408,136
14,energy-anomaly,Hellinger,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 33728, 35904, 42024, 45152, 47872, 48280, 52904, 53992]",13.11322522,0.882102625,0.833333333,-480.6153846,136,0.990940954,0,408,136
15,energy-anomaly,Jeffreys,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[6120, 11968, 17952, 18360]",519.3966136,0.394063525,0.533333333,100,136,1.03746113,0,408,136
16,energy-anomaly,Jensen-Shannon Divergence,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",17.11507773,0.988370002,1,-19.55555556,136,1.04932592,0,408,136
17,energy-anomaly,Jensen Difference,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",21.87363219,0.988370002,1,-19.55555556,136,1.054071646,0,408,136
18,energy-anomaly,K Divergence,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 24072, 29920, 42024, 54128]",51.77117705,0.69139515,0.823529412,16,136,1.166812428,0,408,136
19,energy-anomaly,KL Divergence,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[6120, 11968, 24072, 29920, 42024, 53992]",52.30109024,0.690987575,0.823529412,16,136,1.113338516,0,408,136
20,energy-anomaly,Kulczynski,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",16.84434724,0.988370002,1,-19.55555556,136,1.1059349,0,408,136
21,energy-anomaly,Lorentzian,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",16.56400633,0.988370002,1,-19.55555556,136,1.150226667,0,408,136
22,energy-anomaly,Manhattan,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 35904, 42024, 48008, 53992]",15.44361711,0.988370002,1,-19.55555556,136,1.183878183,0,408,136
23,energy-anomaly,Matusita,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[5984, 11968, 17952, 23936, 30056, 33728, 35904, 42024, 45152, 47872, 53992]",15.28650618,0.902816637,0.909090909,-493.8181818,136,0.993655442,0,408,136
